title,address,lat,lng,link,category,body
Viva!City Bristol Ethical Life Festival,"Bristol, UK",,,https://www.viva.org.uk/festivals/bristol-vivacity-2018,outdoor,map
Blackpool Yoga and Vegan Festival,"Blackpool, UK",,,n/a,outdoor,map
VegFest Houston,"Houston, TX, USA",,,www.VegFestHouston.com,outdoor,map
Plymouth Vegan Festival,"Plymouth, UK",,,n/a,outdoor,map
We Love Vegan Food,"London, UK",,,https://welovefood.co/vegan-food-festival/,outdoor,map
Vegtoria Veg Fest,"Victoria, BC, CANADA",,,http://www.vegtoria.ca/,outdoor,map
Compassionfest,"Hamden, CT, USA",,,http://www.compassionfest.net/,outdoor,map
VegOut! Portland Vegan Beer & Food Festival,"Portland, OR, USA",,,http://vegoutevents.com/,outdoor,map
Milton Keynes Vegan Festival,"Milton Keynes, UK",,,n/a,outdoor,map
VegFest Colorado,"Golden, CO, USA",,,http://www.vegfestcolorado.org/home.html,outdoor,map
Spokane Vegfest,"Spokane, WA, USA",,,http://www.inveg.org/vegfest.html,outdoor,map
Coventry Vegan Beer Fest,"Manchester, UK",,,http://veganbeerfest.co.uk/,outdoor,map
Maidstone Vegan Festival,"Maidstone, Kent, UK",,,http://www.maidstoneveganfestival.co.uk/,outdoor,map
Bath Vegan Festival,"Bath, UK",,,n/a,outdoor,map
Coventry Viva! Vegan Festival,"Coventry, UK",,,https://www.viva.org.uk/festivals/coventry-2018,outdoor,map
Pittsburgh VegFest,"Pittsburgh, PA, USA",,,https://pittsburghvegfest.org/,outdoor,map
Glasgow Vegan Beer Fest,"Glasgow, SCOTLAND",,,http://veganbeerfest.co.uk/,outdoor,map
Vegan Connections,"Glasgow, SCOTLAND",,,n/a,outdoor,map
Toronto Vegandale Food Drink Festival,"Toronto, ON, CANADA",,,www.vegandalefest.com,outdoor,map
Quad Cities Vegfest,"Rock Island, IL, USA",,,TK,outdoor,map
Black Vegfest,"Brooklyn, NY",,,https://blackvegfest.org/,outdoor,map
Muskoka Veg Fest,"Huntsville, ON, Canada",,,http://www.muskokavegfest.com/,outdoor,map
Satvik Indian Vegan Festival,"Karnataka, INDIA",,,http://vgan.in/vegan_festival,outdoor,map
VeganFestLV,"Riga, Latvia",,,http://www.veganfest.lv/,outdoor,map
VegFest Kansas City,"Kansas City, MO, USA",,,vegfestkc.com,outdoor,map
Triangle Vegfest,"Durham, NC, USA",,,http://www.trianglevegfest.com/,outdoor,map
St. John's VegFest,"St. John's, NL, CANADA",,,http://www.stjohnsvegfest.com/,outdoor,map
Sonoma County VegFest,"Santa Rosa, CA, USA",,,http://www.socovegfest.org/,outdoor,map
Sheffield Vegan Beer Fest,"Sheffield, UK",,,http://veganbeerfest.co.uk/,outdoor,map
Triangle Vegfest,"Durham, NC, USA",,,http://www.trianglevegfest.com/,outdoor,map
Vegan SoulFest,"Baltimore, MD, USA",,,http://www.vegansoulfest.com/,outdoor,map
Veganes Sommerfest Berlin,"Berlin, GERMANY",,,www.veganes-sommerfest-berlin.de,outdoor,map
Vegan Street Fair LA Nights,"Los Angeles, CA, USA",,,http://www.veganstreetfair.com,outdoor,map
Bradford Vegan Festival,"Bradford, UK",,,veganfestival.co.uk,outdoor,map
Veg Food Fest,"Toronto, ON, CANADA",,,http://vegfoodfest.com/,outdoor,map
Vahimsa Vegan Camp,"Shamokin, PA",,,www.vahimsa.com,outdoor,map
Portsmouth Vegan Festival,"Portsmouth, UK",,,n/a,outdoor,map
Birmingham Viva! Vegan Festival,"Birmingham, UK",,,https://www.viva.org.uk/festivals/birmingham-2018,outdoor,map
PlantBased Live,"London, UK",,,https://www.plantbasedlive.com/,outdoor,map
Chattanooga Vegfest,"Chattanooga, TN, USA",,,https://www.facebook.com/Chattanooga-Vegfest-1246557278782440/,outdoor,map
SLC VegFest,"Salt Lake City, UT, USA",,,https://slcveg.com/,outdoor,map
NEPA VegFest,"Scranton, PA, USA",,,NEPAvegfest.org,outdoor,map
Dorset Vegan Festival,"Dorset, UK",,,https://www.veganeventsuk.co.uk/,outdoor,map
Winnipeg Vegfest,"Winnipeg, MB, CANADA",,,http://winnipegvegfest.ca/,outdoor,map
Sheffield Vegan Festival,"Sheffield, UK",,,http://veganfestival.co.uk/#arvlbdata,outdoor,map
Rochester VegFest,"Rochester, NY, USA",,,http://rocvegfest.org/,outdoor,map
D.C. VegFest,"Washington, DC, USA",,,http://dcvegfest.com/,outdoor,map
Frome Vegan Fair,"Somerset, UK",,,n/a,outdoor,map
Peterborough VegFest,"Peterborough, ON, CANADA",,,https://ptbovegfest.ca/,outdoor,map
Twin Cities Veg Fest,"St Paul, MN, USA",,,http://www.tcvegfest.com,outdoor,map
Harvest VegFest ,"York, PA, USA",,,https://www.yorkvegfest.com/,outdoor,map
Vegfest Guelph,"Guelph, ON, Canada",,,http://www.vegfestguelph.ca/,outdoor,map
Vegan Vibes,"Tauranga, NEW ZEALAND",,,http://www.littlebigevents.co.nz/vegan-vibes/,outdoor,map
Live A Better Life Student Vegan Fair Liverpool [latter year],"Liverpool, UK",,,http://www.labl.org.uk,outdoor,map
Dublin Vegfest ,"Dublin, IRELAND",,,http://dublinvegfest.com/,outdoor,map
New York Vegandale Food Drink Festival,"New York, NY, USA",,,www.vegandalefest.com,outdoor,map
Phoenixville VegFest ,"Phoenixville, PA, USA",,,www.phoenixvillevegfest.com,outdoor,map
Brighton Viva! Vegan Festival,"Brighton, UK",,,https://www.viva.org.uk/festivals/,outdoor,map
Vegas VegFest,"Las Vegas, NV, USA",,,http://www.vegasvegfest.com,outdoor,map
California Vegetarian Food Festival,"Hollywood, CA, USA",,,http://www.cavegfoodfest.com/,outdoor,map
Vegan Village: a mini vegan food festival!,"Las Vegas, NV, USA",,,http://www.vegasvegfest.com,outdoor,map
Vegan Roots Fest,"Charlottesville, VA, USA",,,http://www.cvillevegfest.org/,outdoor,map
York Yoga and Vegan Festival,"York, UK",,,n/a,outdoor,map
Bali Vegan Festival,"Ubud, Bali, INDONESIA",,,http://www.baliveganfestival.com/,outdoor,map
New Jersey VegFest,"Secaucus, NJ, USA",,,http://www.njvegfest.com,outdoor,map
Fort Wayne Veg 'n Brew Fest ,"Fort Wayne, IN, USA",,,fwvegfest.com,outdoor,map
Bayou Veggie Fest,"Houma, LA, USA",,,TK,outdoor,map
Grand Rapids Veg Fest,"Grand Rapids, MI, USA",,,http://grvegfest.com/,outdoor,map
DurhamVeg Vegan Festival,"Whitby, ON, CANADA",,,http://www.durhamvegveganfestival.com/,outdoor,map
Chicago VeganMania,"Chicago, IL, USA",,,http://chicagoveganmania.com/,outdoor,map
Enhancing Health with Plant-Based Nutrition professional medical conference,"Portland, OR, USA",,,http://nwveg.org/health-conference,outdoor,map
Scottish Vegan Festival,"Edinburgh, SCOTLAND",,,http://www.scottishveganfestival.com/,outdoor,map
Portland VegFest,"Portland, OR, USA",,,http://www.nwveg.org/vegfest.php,outdoor,map
Kingston VegFest,"Kingston, ON, USA",,,http://www.kingstonvegfest.ca/,outdoor,map
SoCal VegFest,"Costa Mesa, CA, USA",,,http://socalvegfest.org/,outdoor,map
Lowcountry Veg Fest,"Hilton Head Island, SC, USA",,,http://lowcountryvegfest.com/#intro-1,outdoor,map
