id,title,address,lat,lng,link,category,body,createdAt,updatedAt,
174,Peterborough VegFest,"Peterborough, ON, CANADA",,,https://ptbovegfest.ca/,@PtboVegFest,,,,
175,Twin Cities Veg Fest,"St Paul, MN, USA",,,http://www.tcvegfest.com,@tcvegfest,,,,
176,Harvest VegFest ,"York, PA, USA",,,https://www.yorkvegfest.com/,@harvestvegfestyork,,,,
177,Vegfest Guelph,"Guelph, ON, Canada",,,http://www.vegfestguelph.ca/,@VegfestGuelph,,,,
178,Vegan Vibes,"Tauranga, NEW ZEALAND",,,http://www.littlebigevents.co.nz/vegan-vibes/,@veganvibesnz,,,,
179,Live A Better Life Student Vegan Fair Liverpool [latter year],"Liverpool, UK",,,http://www.labl.org.uk,@labl.vegan,,,,
180,Dublin Vegfest ,"Dublin, IRELAND",,,http://dublinvegfest.com/,@DublinVegfest,,,,
181,New York Vegandale Food Drink Festival,"New York, NY, USA",,,www.vegandalefest.com,@vegandale,,,,
182,Phoenixville VegFest ,"Phoenixville, PA, USA",,,www.phoenixvillevegfest.com,@phxvillevegfest,,,,
183,Brighton Viva! Vegan Festival,"Brighton, UK",,,https://www.viva.org.uk/festivals/,@vivacharity,,,,
184,Vegas VegFest,"Las Vegas, NV, USA",,,http://www.vegasvegfest.com,@vegasvegfest,,,,
185,California Vegetarian Food Festival,"Hollywood, CA, USA",,,http://www.cavegfoodfest.com/,@cavegfoodfest,,,,
186,Vegan Village: a mini vegan food festival!,"Las Vegas, NV, USA",,,http://www.vegasvegfest.com,@vegasvegfest,,,,
187,Vegan Roots Fest,"Charlottesville, VA, USA",,,http://www.cvillevegfest.org/,n/a,,,,
188,York Yoga and Vegan Festival,"York, UK",,,n/a,@yogific,,,,
189,Bali Vegan Festival,"Ubud, Bali, INDONESIA",,,http://www.baliveganfestival.com/,@baliveganfestival,,,,
190,New Jersey VegFest,"Secaucus, NJ, USA",,,http://www.njvegfest.com,@njvegfest,,,,
191,Fort Wayne Veg 'n Brew Fest ,"Fort Wayne, IN, USA",,,fwvegfest.com,@fwvegest ,,,,
192,Bayou Veggie Fest,"Houma, LA, USA",,,TK,n/a,,,,
193,Grand Rapids Veg Fest,"Grand Rapids, MI, USA",,,http://grvegfest.com/,@GRVegFest,,,,
194,DurhamVeg Vegan Festival,"Whitby, ON, CANADA",,,http://www.durhamvegveganfestival.com/,@durhamveg,,,,
195,Chicago VeganMania,"Chicago, IL, USA",,,http://chicagoveganmania.com/,@chicagoveganmania,,,,
196,Enhancing Health with Plant-Based Nutrition professional medical conference,"Portland, OR, USA",,,http://nwveg.org/health-conference,@NorthwestVEG,,,,
197,Scottish Vegan Festival,"Edinburgh, SCOTLAND",,,http://www.scottishveganfestival.com/,n/a,,,,
198,Portland VegFest,"Portland, OR, USA",,,http://www.nwveg.org/vegfest.php,@NorthwestVEG,,,,
199,Kingston VegFest,"Kingston, ON, USA",,,http://www.kingstonvegfest.ca/,@KingstonVegFest,,,,
200,SoCal VegFest,"Costa Mesa, CA, USA",,,http://socalvegfest.org/,@SoCalVegFest,,,,
201,Lowcountry Veg Fest,"Hilton Head Island, SC, USA",,,http://lowcountryvegfest.com/#intro-1,n/a,,,,
202,Boston Veg Food Fest,"Boston, MA, USA",,,http://www.bostonveg.org/foodfest/,@VegBoston,,,,
203,Festival végane de Montréal,"Montreal, QC, CANADA",,,http://festivalveganedemontreal.com/en/,@fvmtl,,,,
204,VegFest NL,"Utrecht, NETHERLANDS",,,www.vegfest.nl,n/a,,,,
205,Vegan Festival Adelaide,"Adelaide, AUSTRALIA",,,https://veganfestival.info/,@vegan_festival_adelaide,,,,
206,World Veg Festival,"San Francisco, CA, USA",,,http://www.worldvegfestival.com/,@sfvegsociety,,,,
207,VegFestUK London,"London, UK",,,http://london.vegfest.co.uk/,@VegfestUK,,,,
208,Texas Veggie Fair,"Dallas, TX, USA",,,http://www.texasveggiefair.com/,@TexasVeggieFair,,,,
209,Hampton Roads VegFest,"Chesapeake, VA, USA",,,http://www.hamptonroadsvegfest.com/,@hrvegfest,,,,
210,Seed Food and Wine Festival,"Miami, FL, USA",,,http://www.seedfoodandwine.com/,@seedFW ,,,,
211,Bath Vegan Festival,"Bath, UK",,,n/a,n/a,,,,
212,North East Vegan Festival (NEVFEST),"Sunderland, UK",,,http://www.northeastveganfestival.co.uk/,n/a,,,,
213,Hudson Valley Vegfest,"Poughkeepsie, NY, USA",,,http://www.hvvegfest.org/,@hudsonvalleyvegfest,,,,
214,SouthWest Veg Fest,"Phoenix, AZ, USA",,,https://www.swvegfest.com/,@swvegfest,,,,
215,Glasgow Vegan Festival,"Glasgow, SCOTLAND",,,n/a,@Veganfestivaluk,,,,
216,VegFest London,"London, ON, CANADA",,,http://www.vegfestlondon.com/,@vegfestlondonon,,,,
217,Atlanta Veg Fest,"Atlanta, GA, USA",,,http://atlantavegfest.com/,@atlantavegfest,,,,
218,Palm Beach VegFest,"Palm Beach, FL, USA",,,https://www.pbvegfest.com/,@PBVegFest,,,,
219,VegOut! Tucson,"Scottsdale, AZ, USA",,,http://vegoutevents.com/,n/a,,,,
220,Sydney Cruelty Free Festival,"Sydney, AUSTRALIA",,,http://crueltyfreefestival.org.au/,@crueltyfreefestival,,,,
221,Manchester Vegan Christmas Market,"Manchester, UK",,,TK,TK,,,,
222,Southampton Vegan Festival,"Southampton, UK",,,https://www.southamptonveganfestival.co.uk,@southamptonveganfestival,,,,
223,Space Coast VegFest,"Cocoa Village, FL, USA",,,http://spacecoastvegfest.org/,n/a,,,,
224,VegFest Fort Lauderdale,"Fort Lauderdale, FL, USA",,,http://vegfestexpos.com,@vegfestexpos,,,,
225,VegFest Pilipinas,"Manila, PHILIPPINES",,,http://www.vegfestpilipinas.com,@vegfestpilipinas,,,,
226,Charlotte Vegfest,"Charlotte, NC, USA",,,http://www.charlottevegfest.com/,n/a,,,,
227,Croatian Veganmania,"Zagreb, CROATIA",,,zegevege.com,n/a,,,,
228,VegFest Windsor,"Windsor, ON, CANADA",,,www.vegfestwindsor.ca,@vegfestwindsor,,,,
229,Hudson Valley Vegan Food Festival,"Newburgh, NY, USA",,,TK,TK,,,,
230,Absolutely Fabulous Vegan Festival,"Aberystwyth, UK",,,n/a,n/a,,,,
231,Curacao Vegan Food Fest Christmas,"Willemstad, CURACAO",,,n/a,n/a,,,,
232,FarGo’s Vegan Festival: Cruelty Free Christmas,"Fargo Village, Coventry, UK",,,n/a,n/a,,,,
233,Hull Vegan Festival,"Hull, UK",,,n/a,n/a,,,,
234,Kettering Vegan Festival,"Kettering, UK",,,n/a,n/a,,,,
235,Long Island Vegan Food and Information Extravaganza,"Huntington Station, NY, USA",,,n/a,n/a,,,,
236,Manchester Vegan Food and Drink Festival,"Manchester, UK",,,n/a,n/a,,,,
237,Saigon Vegan Festival,"Ho Chi Minh City, VIETNAM",,,n/a,n/a,,,,
238,Taiwan Vegan Frenzy,"Taipei, TAIWAN",,,n/a,n/a,,,,
239,West Yorkshire Vegan Festival,"Dewsbury, UK",,,https://www.westyorkshireveganfestival.com,n/a,,,,
240,VegeQ,"Hoofddorp, NETHERLANDS",,,https://www.veggiefair.nl,n/a,,,,
241,Veggie Fair ,"Hoofddorp, NETHERLANDS",,,https://www.veggiefair.nl,n/a,,,,
242,VFP Vegan Festival,"Brighton, UK",,,https://www.veganfoodpimp.com/vfp-vegan-festival-2017,@veganfoodpimp,,,,
243,Central Manchester Vegan Fair,"Manchester, UK",,,https://www.northernveganfestival.com,n/a,,,,
244,Iowa Vegfest,"Windsor Heights, IA, USA",,,https://www.iowavegfest.com/,@iowavegfest,,,,
245,Bluegrass VegFest ,"Louisville, KY, USA",,,https://www.bluegrassvegfest.com/,@bluegrassvegfest,,,,
246,Philly SEED Fest,"Philadelphia, PA, USA",,,https://phillyseed.com,@phillyseedfest,,,,
247,BoEtico VeganFestival,"Bologna, ITALY",,,https://boeticoveganfest.wordpress.com/,n/a,,,,
248,WNY Vegfest,"Buffalo, NY, USA",,,http://www.wnyvegfest.com/,@WNYVegFest,,,,
249,Veg Fest Vancouver,"Vancouver, BC, CANADA",,,TK,@VegFestVan,,,,
250,Hong Kong Vegfest,"Hong Kong SAR, CHINA",,,TK,n/a,,,,
251,VegFest Brasil,"Campos do Jordão, BRAZIL",,,c,n/a,,,,
252,Leeds Ethical Christmas Market,"Leeds, UK",,,http://www.veganwinterfest.co.uk/,n/a,,,,
253,Manchester Vegan Fair,"Manchester, UK",,,http://www.veganorganic.net/,n/a,,,,
254,San Diego Veg Festival,"San Diego, CA, USA",,,http://www.sandiegovegfest.com/,@SanDiegoVegFest,,,,
255,Living Green Festival,"Canberra, ACT, AUSTRALIA",,,http://www.livinggreenfestival.org.au/,@lgfcanberra,,,,
256,Lagos Veg Fest,"Lagos, NIGERIA",,,TK,@lagosvegfest,,,,
257,Bournemouth Vegan Fair,"Bournemouth, UK",,,http://www.dorsetveganevents.co.uk/bournemouth-vegan-fair,@dorset_vegan,,,,
258,Poole Vegan Fair,"Poole, Dorset, UK",,,http://www.dorsetvegan.co.uk/poole-vegan-fair.html,@Dorset_vegan,,,,
259,Compassionfest Vegan Holiday Bazaar,"Hamden, CT, USA",,,http://www.compassionfest.net/,@compassionfest,,,,
260,Care Vegan Festival aka Chester County Vegan Festival,"West Chester, PA, USA",,,TK,n/a,,,,
261,Central Florida Veg Fest ,"Orlando, FL, USA",,,http://www.cfvegfest.org/,n/a,,,,
262,Columbus Vegfest,"Columbus, OH, USA",,,http://www.cbusvegfest.com/,n/a,,,,
